Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia
Caballito,ESPINOSA 1528,1308.45m2,17.90m,18.88m,69.80m,72.50m,35 m,46.41 m,CM  (Codigo Anterior : R2a II - FOT: 4.45),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6250.00m2,,U$S  295.000,PLUSVALIA  U$S 49.257
Caballito,"Gallardo, Angel Av. 146 / 48",1308.45m2,17.90m,18.88m,69.80m,72.50m,35 m,46.41 m,CM  (Codigo Anterior : R2a II - FOT: 4.45),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,6250.00m2,,U$S  295.000,PLUSVALIA  U$S 49.257
Chacarita,Giribone  1239,314.81m2,16.31m,16.56m,18.31m,20m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2150.98m2,,U$S  440.000,PLUSVALIA  U$S 53.404
Chacarita,ALVAREZ THOMAS  920,314.81m2,16.31m,16.56m,18.31m,20m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2150.98m2,,U$S  440.000,PLUSVALIA  U$S 53.404
Chacarita,SANTOS DUMONT 4787,314.81m2,16.31m,16.56m,18.31m,20m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2150.98m2,,U$S  440.000,PLUSVALIA  U$S 53.404
Chacarita,VIRREY LORETO 3735,314.81m2,16.31m,16.56m,18.31m,20m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2150.98m2,,U$S  440.000,PLUSVALIA  U$S 53.404
Chacarita,ALVAREZ THOMAS 912 / 920,314.81m2,16.31m,16.56m,18.31m,20m,No Alcanzada,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2150.98m2,,U$S  440.000,PLUSVALIA  U$S 53.404
Coghlan,Manuela Pedraza 3861,386.09m2,8.75m,8.90m,44.20m,43.30m,28.36 m,37.81 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1810.50m2,,U$S  369.000,PLUSVALIA  U$S 28.040
Coghlan,IBERA 3579,386.09m2,8.75m,8.90m,44.20m,43.30m,28.36 m,37.81 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1810.50m2,,U$S  369.000,PLUSVALIA  U$S 28.040
Coghlan,"Balbin, Ricardo, Dr. Av.  2730",386.09m2,8.75m,8.90m,44.20m,43.30m,28.36 m,37.81 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1810.50m2,,U$S  369.000,PLUSVALIA  U$S 28.040
Coghlan,CONGRESO 3163,386.09m2,8.75m,8.90m,44.20m,43.30m,28.36 m,37.81 m,USAA  (Codigo Anterior : R2bI - FOT: 1.6),MIXTURA 3,,PB + 7 PISOS + 2 RETIROS,1810.50m2,,U$S  369.000,PLUSVALIA  U$S 28.040
Colegiales,DELGADO 1486,868.09m2,20.83m,20.85m,40.85m,42.46m,27.02 m,36.02 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,9059.08m2,,U$S  350.000,PLUSVALIA  U$S 49.412
Colegiales,"CABILDO 450, PLANOS APROBADOS",868.09m2,20.83m,20.85m,40.85m,42.46m,27.02 m,36.02 m,CA  (Codigo Anterior : C3I - FOT: 4),MIXTURA 4,,PB + 12 PISOS + 2 RETIROS,9059.08m2,,U$S  350.000,PLUSVALIA  U$S 49.412
Constitucion,RONDEAU  1786,605.91m2,10.05m,10.08m,60.30m,60.10m,31.72 m,42.29 m,USAA  (Codigo Anterior : R2aI - FOT: 3.32),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2247.04m2,,U$S  160.000,PLUSVALIA  U$S 13.336
Constitucion,RONDEAU 1780 / 1786,605.91m2,10.05m,10.08m,60.30m,60.10m,31.72 m,42.29 m,USAA  (Codigo Anterior : R2aI - FOT: 3.32),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2247.04m2,,U$S  160.000,PLUSVALIA  U$S 13.336
Constitucion,FILIBERTO 1715,605.91m2,10.05m,10.08m,60.30m,60.10m,31.72 m,42.29 m,USAA  (Codigo Anterior : R2aI - FOT: 3.32),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2247.04m2,,U$S  160.000,PLUSVALIA  U$S 13.336
Constitucion,LUIS SAENZ PEÑA  1855,605.91m2,10.05m,10.08m,60.30m,60.10m,31.72 m,42.29 m,USAA  (Codigo Anterior : R2aI - FOT: 3.32),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2247.04m2,,U$S  160.000,PLUSVALIA  U$S 13.336
Constitucion,"Saenz PeÑa, Luis, Pres. 1619",605.91m2,10.05m,10.08m,60.30m,60.10m,31.72 m,42.29 m,USAA  (Codigo Anterior : R2aI - FOT: 3.32),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2247.04m2,,U$S  160.000,PLUSVALIA  U$S 13.336
Constitucion,Rondeau 1567,605.91m2,10.05m,10.08m,60.30m,60.10m,31.72 m,42.29 m,USAA  (Codigo Anterior : R2aI - FOT: 3.32),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2247.04m2,,U$S  160.000,PLUSVALIA  U$S 13.336
Constitucion,RONDEAU 1780,605.91m2,10.05m,10.08m,60.30m,60.10m,31.72 m,42.29 m,USAA  (Codigo Anterior : R2aI - FOT: 3.32),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2247.04m2,,U$S  160.000,PLUSVALIA  U$S 13.336
Constitucion,VIRREY CEVALLOS 1048,605.91m2,10.05m,10.08m,60.30m,60.10m,31.72 m,42.29 m,USAA  (Codigo Anterior : R2aI - FOT: 3.32),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,2247.04m2,,U$S  160.000,PLUSVALIA  U$S 13.336
Flores,GAVILAN 1052,904.89m2,17.25m,17.47m,52.15m,52.10m,30.47 m,m,USAA  (Codigo Anterior : R2a II - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,3625.00m2,,U$S  300.000,PLUSVALIA  U$S 0
Flores,REMEDIOS 3084,904.89m2,17.25m,17.47m,52.15m,52.10m,30.47 m,m,USAA  (Codigo Anterior : R2a II - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,3625.00m2,,U$S  300.000,PLUSVALIA  U$S 0
Flores,BILBAO 3326 / 3348,904.89m2,17.25m,17.47m,52.15m,52.10m,30.47 m,m,USAA  (Codigo Anterior : R2a II - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,3625.00m2,,U$S  300.000,PLUSVALIA  U$S 0
Flores,AV RIVADAVIA  7283,904.89m2,17.25m,17.47m,52.15m,52.10m,30.47 m,m,USAA  (Codigo Anterior : R2a II - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,3625.00m2,,U$S  300.000,PLUSVALIA  U$S 0
Flores,MENDEZ DE ANDES 1950,904.89m2,17.25m,17.47m,52.15m,52.10m,30.47 m,m,USAA  (Codigo Anterior : R2a II - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,3625.00m2,,U$S  300.000,PLUSVALIA  U$S 0
Flores,"Falcon, Ramon L.,Cnel. 3032 / 38",904.89m2,17.25m,17.47m,52.15m,52.10m,30.47 m,m,USAA  (Codigo Anterior : R2a II - FOT: 2.77),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,3625.00m2,,U$S  300.000,PLUSVALIA  U$S 0
Floresta,BARADERO 140,488.29m2,8.70m,8.60m,56.27m,56.63m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,1717.80m2,,U$S  450.000,PLUSVALIA  U$S 0
Floresta,PERGAMINO 266,488.29m2,8.70m,8.60m,56.27m,56.63m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,1717.80m2,,U$S  450.000,PLUSVALIA  U$S 0
Floresta,BAHIA BLANCA 1162,488.29m2,8.70m,8.60m,56.27m,56.63m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,1717.80m2,,U$S  450.000,PLUSVALIA  U$S 0
Floresta,AV. RIVADAVIA 8269,488.29m2,8.70m,8.60m,56.27m,56.63m,No Alcanzada,m,CM  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 10 PISOS + 2 RETIROS,1717.80m2,,U$S  450.000,PLUSVALIA  U$S 0
La Boca,IRALA 1152,322.69m2,11.43m,11.14m,29.65m,27.54m,No Alcanzada,m,USAB 2  (Codigo Anterior : E3 2 - FOT: 3),MIXTURA 3,,PB + 3 PISOS + 1 RETIRO,977.38m2,,U$S  119.000,PLUSVALIA  U$S 0
La Boca,IRALA 1175,322.69m2,11.43m,11.14m,29.65m,27.54m,No Alcanzada,m,USAB 2  (Codigo Anterior : E3 2 - FOT: 3),MIXTURA 3,,PB + 3 PISOS + 1 RETIRO,977.38m2,,U$S  119.000,PLUSVALIA  U$S 0
La Boca,IRALA 625,322.69m2,11.43m,11.14m,29.65m,27.54m,No Alcanzada,m,USAB 2  (Codigo Anterior : E3 2 - FOT: 3),MIXTURA 3,,PB + 3 PISOS + 1 RETIRO,977.38m2,,U$S  119.000,PLUSVALIA  U$S 0
La Paternal,AV. SAN MARTIN 2289,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,CHORROARIN 121,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,Chorroarin 121/27/37,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,CHORROARIN  109/115,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,CHORROARIN 127,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,Chorroarin 121/27/37/47,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
La Paternal,Chorroarin 109/15/21/27/37/47,151.32m2,8.54m,8.67m,17.85m,17.32m,No Alcanzada,m,USAA  (Codigo Anterior : E2 - FOT: 2),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,983.51m2,,U$S  850.000,PLUSVALIA  U$S 2.001
