Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia,Factibilidad
Villa Crespo,AGUIRRE 368,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa Crespo,THAMES 37,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa Crespo,Juan B Justo 1959,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa Crespo,MURILLO 866,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa Crespo,Remedios Escalada De S. Martin 755,331.71m2,8.66m,8.68m,38.18m,38.34m,24 m,32 m,USAA  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 7 PISOS + 2 RETIROS,1574.60m2,,U$S  900.000,PLUSVALIA  U$S 60.094,https://lideresenterrenos.com.ar/estudioTerreno/1652
Villa del Parque,San Nicolas  3135,940m2,18.46m,35.70m,43.23m,43.61m,m,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,6500.00m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2018
Villa del Parque,ARGERICH 3098,940m2,18.46m,35.70m,43.23m,43.61m,m,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,6500.00m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2018
Villa del Parque,BUFANO 2515 / 2547,940m2,18.46m,35.70m,43.23m,43.61m,m,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,6500.00m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2018
Villa del Parque,HELGUERA 3284,940m2,18.46m,35.70m,43.23m,43.61m,m,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,6500.00m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2018
Villa del Parque,SAN MARTIN. AV 4102,940m2,18.46m,35.70m,43.23m,43.61m,m,m,USAA  (Codigo Anterior : C3II - FOT: LIBRE),MIXTURA 4,,PB + 7 PISOS + 2 RETIROS,6500.00m2,,U$S  395.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/2018
