Coordinates,Exact_Match
"21.3584374,-101.9038822",False
"21.3584374,-101.9038822",False
"21.360644,-101.9072219",False
"21.3615282,-101.9071632",True
"21.3591357,-101.9041231",True
,True
"21.3590751,-101.9065739",True
"21.360209,-101.9076267",True
"21.3578919,-101.903566",False
"21.3594464,-101.9010195",False
"21.3596492,-101.9008246",False
"21.3595732,-101.9008727",False
"21.3581716,-101.9028138",False
"21.3593532,-101.9010688",False
"21.357799,-101.9005544",True
"21.3571902,-101.8999121",True
"21.3582896,-101.9018505",False
"21.3578185,-101.9007416",True
"21.3578185,-101.9007416",True
"21.3583389,-101.9006022",True
"21.3583389,-101.9006022",True
"21.3583389,-101.9006022",True
"21.3583389,-101.9006022",True
,True
"21.3615494,-101.9041403",True
"21.3586988,-101.9154614",True
"21.3583389,-101.9006022",True
,True
"21.3615396,-101.9067299",False
,False
"21.36153,-101.9065946",False
"21.3615538,-101.9037683",True
,False
"21.361291,-101.9054645",False
,False
"21.361291,-101.9054645",False
"21.3575962,-101.9080222",True
"21.3618058,-101.9026266",True
"21.361244,-101.9053735",False
,False
,True
,True
"21.3623851,-101.902088",True
"21.3622674,-101.9016475",True
"21.3584657,-101.9011803",False
"21.358704,-101.9011572",False
"21.3585175,-101.9012266",False
"21.3584921,-101.9011778",False
"21.3584921,-101.9011778",False
"21.3597223,-101.9010484",False
"21.3593532,-101.9010688",False
"21.3593532,-101.9010688",False
,True
"21.3617707,-101.9224017",True
"21.3582211,-101.9013564",False
"21.3582211,-101.9013564",False
,True
"21.3603219,-101.9073541",False
"21.3599849,-101.905979",True
"21.3609013,-101.9053992",True
"21.3609013,-101.9053992",True
"21.3609013,-101.9053992",True
"21.3649322,-101.9039765",False
,False
,True
"21.3615282,-101.9071632",True
"21.360644,-101.9072219",False
,True
"21.3649322,-101.9039765",False
"20.6508244,-103.4616199",False
"20.6517659,-103.4600815",False
"20.6507542,-103.4604943",False
"20.6507542,-103.4604943",False
"20.6501655,-103.4607423",True
"20.6455649,-103.4664569",True
"20.6455649,-103.4664569",True
"20.6455655,-103.4664606",True
"20.6497303,-103.4590663",False
,True
"20.6497303,-103.4590663",False
,True
,True
"20.6332227,-103.2717192",False
"20.6357644,-103.2698865",True
"20.6356854,-103.2701685",False
"20.6356854,-103.2701685",False
,True
"20.6425536,-103.2636818",True
"20.6425536,-103.2636818",True
"20.6361567,-103.269555",True
"20.6361567,-103.269555",True
"20.6411289,-103.4830733",True
"20.6357644,-103.2698865",True
"20.6484917,-103.4595957",True
"20.6479198,-103.4609968",True
"20.6479979,-103.4526461",True
"20.6497976,-103.4619786",True
"20.6490682,-103.4615037",False
"20.6479198,-103.4609968",True
"20.648372,-103.4623431",True
"20.6487831,-103.4604285",False
"20.6498618,-103.4602225",True
"20.6487831,-103.4604285",True
"20.6489711,-103.4616883",False
"20.7235746,-103.5464449",True
"20.6495282,-103.4609884",True
"21.3582682,-101.9044408",False
"20.7088199,-103.4535391",False
,False
"21.3607063,-101.9073066",True
"21.3607063,-101.9073066",True
,False
"21.3607063,-101.9073066",True
"21.3607237,-101.9073179",False
"21.3607681,-101.9073901",True
,False
"21.3612572,-101.9071532",True
"20.6364143,-103.2890013",True
"20.6355121,-103.2879866",True
"20.6353806,-103.2880222",True
"21.3581553,-101.912649",True
"21.3581553,-101.912649",True
"20.6353909,-103.2876371",True
"21.3609444,-101.9055382",True
"21.3609444,-101.9055382",True
"21.3607281,-101.9072481",True
"21.3581553,-101.912649",True
"21.3581553,-101.912649",True
"21.3606518,-101.9072048",True
"20.6225332,-103.3898283",True
"20.6203909,-103.391358",True
"21.3606518,-101.9072048",True
"21.3581564,-101.9020492",True
"20.6220125,-103.3903774",True
,False
,False
,False
"20.622661,-103.3897945",True
"20.6221157,-103.3901697",True
"20.6213899,-103.3899555",False
"20.6210832,-103.3671463",True
"20.6354331,-103.2872425",True
"20.6211814,-103.3676437",True
"20.6210455,-103.3901531",False
"20.6361699,-103.2879127",True
"20.6214888,-103.3666059",True
"20.6213289,-103.3897208",False
"20.636051,-103.2878062",True
"20.6213077,-103.3662375",True
"20.6213693,-103.3897317",False
"20.6360914,-103.2869944",True
"21.3576223,-101.9082212",True
"20.621082,-103.3672356",True
"20.6223923,-103.3895399",False
"21.357911,-101.9090694",True
"20.6357842,-103.2869831",True
"21.3578667,-101.9090471",True
"21.3587488,-101.9104955",True
"20.6226006,-103.3662312",True
,False
,False
"20.6226634,-103.3657372",True
,False
,True
"20.6228751,-103.3669669",True
,False
"20.6233334,-103.3661408",True
"20.6213567,-103.3663473",True
"20.6232241,-103.3663516",True
"20.6232297,-103.3659607",True
"20.6214644,-103.3669191",True
"21.3618387,-101.903853",True
"21.3618196,-101.9038458",True
"21.3618044,-101.9038401",True
"21.3618122,-101.9038431",True
