,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/chemamtz_/status/1720469148009214347,2023-11-03 15:53:04.000,0.5503182911872864,0.3453014735538387,0.6638896584510803,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1720469148009214347,13,5,46,1043
twitter.com/chemamtz_/status/1703197968046735407,2023-09-17 00:03:34.000,0.6347303475652423,0.1802790276146755,0.7424125501087734,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1703197968046735407,23,9,70,3963
twitter.com/chemamtz_/status/1712486010267836651,2023-10-12 15:10:55.000,0.7314353773991268,0.3254928124829906,0.7439610560735067,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1712486010267836651,6,34,46,537
twitter.com/chemamtz_/status/1708859707518034088,2023-10-02 15:01:18.000,0.5341097457068307,0.3371104947501684,0.9291787317820958,Neutral,Enojo/Molestia,Mucha Aprobacion/Alegria,twitter.com/chemamtz_/status/1708859707518034088,6,8,28,485
twitter.com/chemamtz_/status/1724862708716089378,2023-11-15 18:51:30.000,0.4397811688482761,0.1851476169816201,0.3759002760052681,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1724862708716089378,12,8,30,1646
twitter.com/chemamtz_/status/1720086262726734117,2023-11-02 14:31:37.000,0.5140120645364127,0.15313972044478447,0.6560127139091492,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1720086262726734117,12,6,34,786
twitter.com/chemamtz_/status/1710095058186227983,2023-10-06 00:50:08.000,0.016293016763833854,0.26417837023465407,0.6036549164698675,Mucho Enojo/Molestia,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1710095058186227983,17,18,50,878
twitter.com/chemamtz_/status/1704194187426480637,2023-09-19 18:02:11.000,0.8381817936897278,0.2920131791701687,0.7065830677747726,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1704194187426480637,9,5,32,1041
twitter.com/chemamtz_/status/1711203813758247085,2023-10-09 02:15:56.000,0.9531077905134722,0.17857891080484758,0.8024701476097107,Mucha Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1711203813758247085,11,17,46,871
twitter.com/chemamtz_/status/1717372036174016879,2023-10-26 02:46:15.000,0.38757540434598925,0.10788458531145885,0.42594243586063385,Enojo/Molestia,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1717372036174016879,13,4,43,842
twitter.com/chemamtz_/status/1725161485930749994,2023-11-16 14:38:44.000,0.6471741605000417,0.20502274333893175,0.4535379282763747,Aprobacion/Alegria,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1725161485930749994,53,63,173,16500
twitter.com/chemamtz_/status/1721351202120647059,2023-11-06 02:18:02.000,0.47917091591017585,0.184829806955882,0.48594142709459576,Neutral,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1721351202120647059,20,25,70,4105
twitter.com/chemamtz_/status/1715461756225544649,2023-10-20 20:15:29.000,0.47917091591017585,0.184829806955882,0.48594142709459576,Neutral,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1715461756225544649,9,0,27,469
twitter.com/chemamtz_/status/1705244144577253690,2023-09-22 15:34:20.000,0.31267385993685043,0.09407852583216528,0.31464645692280363,Enojo/Molestia,Mucho Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1705244144577253690,11,11,39,929
twitter.com/chemamtz_/status/1717589121307209865,2023-10-26 17:08:52.000,0.5134744763374328,0.014700571248110762,0.5105026066303253,Neutral,Mucho Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1717589121307209865,13,2,32,668
twitter.com/chemamtz_/status/1703974786785751506,2023-09-19 03:30:22.000,0.9485126733779907,0.004718394965250941,0.009194612503051758,Mucha Aprobacion/Alegria,Mucho Enojo/Molestia,Mucho Enojo/Molestia,twitter.com/chemamtz_/status/1703974786785751506,9,4,31,526
twitter.com/chemamtz_/status/1734993187083538587,2023-12-13 17:46:25.000,0.23795702457427978,0.3392741825789524,0.8679729402065277,Enojo/Molestia,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1734993187083538587,19,11,62,1423
twitter.com/chemamtz_/status/1714278335961063544,2023-10-17 13:52:59.000,0.052662938833236694,0.250561638402003,0.44284647703170776,Mucho Enojo/Molestia,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1714278335961063544,4,2,20,481
twitter.com/chemamtz_/status/1718092519798436304,2023-10-28 02:29:11.000,0.4517517348130545,0.027444854859018222,0.8226411044597626,Neutral,Mucho Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1718092519798436304,8,6,31,638
